id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
252,DESLODEX D JARABE,NOVAMED S.A.,INVIMA 2016M-0011154-R1,07/29/2010,03/03/2021,Vigente,20019330,4,1,USO INSTITUCIONAL CAJA CON 1 FRASCO PET AMBAR POR 60 ML,Activo,01/13/2016,N/A,No,U,R01BA03,FENILEFRINA,ORAL,B,DESLORATADINA,mg,25,100 ML DE JARABE,JARABE,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
253,GRIPEX CAPSULA,BIOPHARM FARMACEUTICA S.A.S.,INVIMA 2019M-0019035,05/23/2019,06/20/2024,Vigente,20145450,5,3,MUESTRA MEDICA: 2C1005211003100PLEGADIZA POR 1 BLÍSTER PVC TRANSPARENTE/FOIL ALUMINIO POR 3 CÁPSULAS CADA UNO,Activo,05/13/2019,N/A,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFÉN,mg,500,CÁPSULA,CAPSULA DURA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
254,CIPLADANOGEN® 200 MG CAPSULAS,CIPLA LTD.. VERNA. SALCETTE. GOA,INVIMA 2010 M-13969 R1,01/01/1999,06/11/2020,Vigente,19905582,6,30,USO INSTITUCIONAL: CAJA DE CARTÓN POR 30 CÁPSULAS DURAS EN BLISTER DE PVC / ALUMINIO POR 10 CÁPSULAS DURAS CADA BLISTER.,Activo,02/20/2015,N/A,No,U,G03XA01,DANAZOL,ORAL,A,DANAZOL,mg,200,CAPSULA,CAPSULA DURA,CIPLA LTD.,FABRICANTE,IMPORTAR Y VENDER
255,CETROTIDE® 0.25MG,MERCK S.A.,INVIMA 2015M-014620-R2,01/01/1999,12/04/2020,Vigente,19908844,1,1,CAJA X 1 BLISTER CON FRASCO VIAL + JERINGA PRELLENADA CON 1 ML. DE AGUA PARA INYECCION +1 AGUJA PARA INYECCION + 2 PA?ITOS,Activo,11/10/2006,N/A,No,U,H01CC02,CETRORELIX,SUBCUTANEA,A,CETRORELIX ACETATO EQUIVALENTE A CETRORELIX,mg,0.25,FRASCO VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,BAXTER ONCOLOGY GMBH,FABRICANTE,IMPORTAR Y VENDER
256,BONDIGEST® 5 MG,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-0005600-R1,04/10/2006,06/09/2022,Vigente,19963117,1,3,MUESTRA MÉDICA: CAJA X 3 TABLETAS EN BLISTER PVC TRANSPARENTE - ESTUCHE DE CARTULINA ESMALTADA,Inactivo,02/06/2007,05/11/2017,Si,U,A03FA99,MOSAPRIDA,ORAL,A,MOSAPRIDA CITRATO,mg,5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
257,LEMOVIT®C,PROCAPS S.A.,INVIMA 2018M-0011329-R1,05/07/2008,03/26/2023,Vigente,19988249,18,150,FRASCO DE PEAD BLANCO CON TAPA BLANCA DE POLIPROPILENO X 150 CAPSULAS DURAS.,Activo,02/03/2014,N/A,No,U,A11GA01,ACIDO ASCORBICO (VIT C),ORAL,A,610 MG DE ACIDO ASCORBICO EN MICROGRANULOS. EQUIVALENTE A ACIDO ASCORBICO (VITAMINA C)500 MG. COMPOSICION DE LOS MICROGRANULOS: ACIDO ASCORBICO 500 MG. AZUCAR 52.4993 MG.GOMA LACA 36.5363 MG. ACIDO TARTARICO 11.8534 MG. TALCO 9.1109 MG. ALCOHOL ETILICO *128.0000 MG*SE EVAPORA DURANTE EL PROCESO,-,0,CAPSULA DURA,CAPSULA DE LIBERACION PROLONGADA,OSMOPHARM S.A,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
258,VA- MENGOC - BC®,INSTITUTO FINLAY,INVIMA 2019M-011972-R3,09/01/2000,03/26/2024,Vigente,40062,17,10,CAJA CON GRADILLA X 10 VIALES X 1 DOSIS (0.5 ML),Activo,02/01/2019,N/A,No,ml,J07AH03,MENINGOCOCO ANTIGENOS BIVALENTES POLISACARIDOS PURIFICADOS,INTRAMUSCULAR,C,VESICULAS PURIFICADAS DE MEMBRANA EXTERNA DE MENINGOCOCO SEROGRUPO B,µg,50,DOSIS (0.5ML),SUSPENSION INYECTABLE,LABORATORIOS DELTA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
259,VOLIBRIS 5 MG,GLAXOSMITHKLINE COLOMBIA S.A,INVIMA 2019M-0009640-R1,05/19/2009,07/29/2024,Vigente,20001583,1,30,CAJA. BLISTER PVC/PVDC Y FOIL DE ALUMINIO CON CAPA DE SEGURIDAD OVERGRAP POR 30 TABLETAS,Activo,02/12/2009,N/A,No,U,C02KX02,AMBRISENTAN,ORAL,A,AMBRISENTAN,mg,5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
260,TRAVAD PIK,TECNOFAR TQ S.A.S,INVIMA 2018M-0018109,04/05/2018,04/27/2023,Vigente,20119541,2,1,MUESTRA MÉDICA: CAJA PLEGADIZA CON 2 SOBRES DE LAMINADO DE PAPEL (PE-ALU-PE) + VASO MEDIDOR BLANCO DE POLIESTIRENO + FOLLETO CON INSTRUCTIVO DE USO.,Activo,03/23/2018,N/A,Si,U,A06AB58,SODIO PICOSULFATO COMBINACIONES,ORAL,A,ACIDO CITRICO ANHIDRO,g,12,N/A,POLVO PARA RECONSTITUIR A SOLUCION ORAL,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
261,DERMOVATE® UNGÜENTO,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA 2017M-0012157-R1,05/12/2011,09/18/2022,Vigente,20021844,1,1,CAJA PLEGADIZA CON UN TUBO COLAPSIBLE DE ALUMINIO CON TAPA DE POLIETILENO X 15G + INSERTO,Activo,10/29/2010,N/A,No,U,D07AD01,CLOBETASOL,TOPICA (EXTERNA),D,PROPIONATO DE CLOBETASOL,g,0.05,CADA 100 G DE UNGÜENTO,UNGUENTO TOPICO,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
262,GEMZAR LILLY ® 200 MG,ELI LILLY AND COMPANY,INVIMA 2020M-006959-R2,01/01/1999,02/10/2025,Vigente,215185,2,1,CAJA CON 1 VIAL DE VIDRIO TIPO I TRANSPARENTE. TAPÓN DE BUTILO Y CIERRE DE ALUMINIO CON TAPA DE POLIPROPILENO POR 0.2 GRAMOS PARA RECONSTITUIR A 5 ML DE SOLUCIÓN INYECTABLE.,Activo,02/06/2007,N/A,No,U,L01BC05,GEMCITABINA,INTRAVENOSA,A,GEMCITABINA CLORHIDRATO EQUIVALENTE A GEMCITABINA,mg,200,VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,ELI LILLY AND COMPANY,FABRICANTE,IMPORTAR Y VENDER
263,HYNDRIAX 20 MG CAPSULAS,SCANDINAVIA PHARMA LTDA.,INVIMA 2019M-0010190-R1,11/04/2009,03/02/2025,Vigente,19993476,5,10,MUESTRA MEDICA: CAJA POR 10 CAPSULAS BLANDAS EN BLISTER DE ALUMINIO/ALUMINIO.,Activo,09/09/2008,N/A,No,U,D10AD04,ISOTETRINOINA,ORAL,A,ISOTRETINOINA,mg,20,CAPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
264,CORDIAX AM 40/ 5 MG TABLETAS,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0013925-R1,12/10/2012,05/10/2023,Vigente,20043072,8,60,CAJA PLEGADIZA POR 60 TABLETAS EN BLISTER ALU-ALU/ALUMINIO,Activo,02/14/2012,N/A,No,U,C09DB04,TELMISARTAN Y AMLODIPINO,ORAL,A,AMLODIPINO BESILATO 6.934MG. EQUIVALENTE A AMLODIPINO BASE,mg,5,SIN DATO,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.,FABRICANTE,FABRICAR Y VENDER
265,CANDESARTAN CILEXETILO 32 MG,TECNOQUIMICAS S.A.,INVIMA 2015M-0016535,11/12/2015,01/04/2021,Vigente,20080458,56,7,USO INSTITUCIONAL: CAJA PLEGADIZA POR 7 TABLETAS EN BLISTER PVC/PVD-ALUMINIO POR 7 TABLETAS.,Activo,03/24/2015,N/A,No,U,C09CA06,CANDESARTAN,ORAL,A,CANDESARTAN CILEXETILO,mg,32,TABLETA,TABLETA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
266,CARBAMAZEPINA 2% SUSPENSIÓN,TECNOFAR TQ S.A.S,INVIMA 2015 M-014599-R2,03/14/1994,08/28/2020,Vigente,42698,4,200,FRASCO ÁMBAR PET POR 200 ML,Inactivo,04/26/2007,09/01/2011,No,ml,N03AF01,CARBAMAZEPINA,ORAL,B,CARBAMAZEPINA,g,2,100ML DE SUSPENSIÓN,SUSPENSION ORAL,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
267,SEVEDOL ®,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,7,30,CAJA CON ENVASE PEAD (POLIETILENO DE ALTA DENSIDAD) DE COLOR BLANCO Y TAPA DE POLIPROPILENO (PP) DE COLOR AZUL POR 30 TABLETAS,Activo,11/10/2006,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN COMPRESION DIRECTA 90% 277.78 MG EQUIVALENTE A ACETAMINOFEN,mg,250,TABLETA,TABLETA,NOVACYL (THAILAND)LTD,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
268,EFEXOR® XR 150 MG. CAPSULAS DE LIBERACIÓN PROLONGADA,PFIZER S.A.S.,INVIMA 2019M-011741-R2,10/14/1998,03/27/2024,Vigente,227312,48,98,MUESTRA MÉDICA PARA EL PRODUCTO DE LA REFERENCIA: CAJA POR 98 CÁPSULAS EN BLISTER PVC/PE/ACLAR/ALUMINIO.,Inactivo,11/19/2012,03/04/2019,Si,U,N06AX16,VENLAFAXINA,ORAL,A,VENLAFAXINA (COMO CLORHIDRATO DE VENLAFAXINA),mg,150,CAPSULA,CAPSULA DE LIBERACION PROLONGADA,PFIZER IRELAND PHARMACEUTICALS,FABRICANTE,IMPORTAR Y VENDER
269,KETESSE® 50 MG/2 ML INYECTABLE,MENARINI INTERNATIONAL OPERATIONS,INVIMA 2016M-0016834,02/12/2016,03/10/2021,Vigente,20076204,74,3,MUESTRA MEDICA:CAJA POR 3 AMPOLLAS SERIGRABADAS DE VIDRIO ÁMBAR TIPO I CON 2 ML DE SOLUCIÓN TRANSPARENTE INCOLORA EN CUNA PLÁSTICA DE PVC.,Activo,01/19/2018,N/A,No,U,M01AE17,DEXKETOPROFENO,INTRAVENOSA,A,DEXKETOPROFENO TROMETAMOL EQUIVALENTE A DEXKETOPROFENO,mg,50,AMPOLLA DE 2 ML,SOLUCION INYECTABLE,A. MENARINI LATIN AMÉRICA. S.L.U.,IMPORTADOR,IMPORTAR Y VENDER
270,RELVAR® ELLIPTA ® 200MCG/25MCG POLVO PARA INHALACIÓN,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA 2018M-0018199,05/09/2018,05/25/2023,Vigente,20100456,2,1,2F100558/1000/102 MUESTRA MÉDICA: CAJA POR UN INHALADOR CONTENIENDO UN MECANISMO DE BLISTER DOBLE DE FOIL LAMINADO CON 14 DOSIS USANDO COMO EMPAQUE SECUNDARIO UNA BANDEJA DE POLIPROPILENO SELLADA CON FOIL LAMINADO CONTENIENDO ADICIONALMENTE SILICA GEL COMO DESECANTE CONTENIENDO ADICIONALMENTE SILICA GEL COMO DESECANTE CONTENIDO EN UN EMPAQUE DE POLIETILENO DE ALTA DENSIDAD (HPDE),Activo,04/06/2018,N/A,Si,U,R03AK10,VILANTEROL Y FUROATO DE FLUTICASONA,INHALACION,A,FUROATO DE FLUTICASONA MICRONIZADO 200MCG (CADA DOSIS PREDISPENSADA CONTIENE FUROATO DE FLUTICASONA),ug,184,DOSIS PREDISPENSADA,POLVO PARA INHALACION,GLAXO OPERATIONS UK,FABRICANTE,IMPORTAR Y VENDER
271,IBUFLASH® MIGRAN,TECNOQUIMICAS S.A.,INVIMA 2015M-0015848,04/30/2015,07/02/2020,Vigente,20068196,51,14,CAJA PLEGADIZA POR 14 CÁPSULAS BLANDAS. EN BLÍSTER ALUMINIO - PVC/PVDC TRANSPARENTE POR 7 CÁPSULAS BLANDAS EN CADA BLÍSTER,Activo,10/10/2019,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,250,CAPSULA BLANDA,CAPSULA BLANDA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
272,IPCA ZITRAM,IPCA LABORATORIES LIMITED,INVIMA 2019M-0018694,01/08/2019,01/22/2024,Vigente,20130630,15,4,MUESTRA MEDICA-CAJA POR 4 TABLETAS RECUBIERTAS EN BLISTER PVDC/ALUMINIO,Activo,12/27/2018,N/A,Si,U,N02AX52,TRAMADOL COMBINACIONES,ORAL,A,TRAMADOL CLORHIDRATO,mg,37.5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,IPCA LABORATORIES LIMITED SUCURSAL COLOMBIA,IMPORTADOR,IMPORTAR Y VENDER
273,ISEDRON ® 10 MG TABLETA,JOINPHARM S.A.,INVIMA 2016M-0017205,07/29/2016,08/16/2021,Vigente,20102900,5,10,MUESTRA MEDICA: CAJA PLEGADIZA CON UN BLISTER EN PVC/ PVDC TRANSPARENTE/ ALUMINIO POR 10 TABLETAS,Activo,07/25/2016,N/A,Si,U,A03FA03,DOMPERIDONA,ORAL,A,DOMPERIDONA BASE,mg,10,TABLETA,TABLETA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
274,BILAXTEN 20 MG COMPRIMIDOS,FAES FARMA S.A,INVIMA 2018M-0012436-R1,07/28/2011,02/08/2023,Vigente,20030167,5,10,MUESTRA MEDICA - CAJA POR 10 TABLETAS EN BLISTER DE ALU/ALU,Activo,08/06/2018,N/A,Si,U,R06AX29,BILASTINA,ORAL,A,BILASTINA,mg,20,CADA TABLETA,TABLETA,FAES FARMA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
275,SEVEDOL® EXTRAFUERTE TABLETA RECUBIERTA,LAFRANCOL INTERNACIONAL S.A.S.,INVIMA 2018M-0008219-R1,06/19/2008,05/10/2023,Vigente,19983165,23,20,CAJA POR 20 TABLETAS EN BLISTER PVDC BLANCO/ALUMINIO.,Activo,04/14/2014,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
276,KEPPRA ® TABLETAS 1000 MG,GLAXOSMITHKLINE TRADING SERVICES LIMITED,INVIMA 2019M-0002929-R2,11/28/2003,07/29/2024,Vigente,19936411,5,10,MUESTRA MEDICA: EN CAJA X 10 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO/PVC.,Activo,05/12/2011,N/A,Si,U,N03AX14,LEVETIRACETAM,ORAL,A,LEVETIRACETAM,mg,"1,000",TABLETA RECUBIERTA,TABLETA RECUBIERTA,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
277,SAL DE FRUTAS LUA PLUS,TECNOFAR TQ S.A.S,INVIMA 2018M-0013340-R1,07/05/2012,08/01/2023,Vigente,20025154,18,28,CAJA POR 28 SOBRES DE ALUMINIO - ALUMINIO POR 6 G,Activo,11/21/2011,N/A,No,U,A02AH99,ANTIACIDOS CON BICARBONATO DE SODIO,ORAL,A,SIMETICONA EN GRANULOS,mg,100,SOBRE POR 6 G.,GRANULOS EFERVESCENTES,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
278,FELDENE INTRAMUSCULAR 40 MG,PFIZER S.A.S.,INVIMA 2019M-010790-R2,05/26/1998,04/10/2024,Vigente,224257,9,4,ESTUCHE DE CARTÓN POR 2 AMPOLLAS DE VIDRIO TIPO I COLOR ÁMBAR POR 2 ML. CADA UNA,Activo,04/22/2009,N/A,No,ml,M01AC01,PIROXICAM,INTRAMUSCULAR,A,PIROXICAM,mg,40,2 ML,SOLUCION INYECTABLE,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
279,HIDRANTA ® 75 MEQ SOLUCION ORAL,FARMA DE COLOMBIA S.A.S.,INVIMA 2020M-0014424-R1,07/23/2013,03/13/2025,Vigente,20057233,2,1,MUESTRA MÉDICA: FRASCO PEAD POR 250ML SABOR UVA .,Activo,03/13/2013,N/A,Si,U,A07CA99,ELECTROLITOS CON CARBOHIDRATOS REHIDRATACION ORAL,ORAL,C,CLORURO DE SODIO,mg,263,100ML DE SOLUCIÓN ORAL,SOLUCION ORAL,QUIBI S.A. EN REESTRUCTURACION,FABRICANTE,FABRICAR Y VENDER
280,HUMIRA® AC,ABBVIE S.A.S.,INVIMA 2018M-0017982,01/17/2018,02/01/2023,Vigente,20108951,10,2,HUMIRA® AC SOLUCIÓN INYECTABLE DE 20/0.2 ML JERINGA PRELLENADA/ ESTUCHE X 2 (JERINGA Y DOS APÓSITOS EMBEBIDOS EN ALCOHOL) - MUESTRA MÉDICA,Activo,10/16/2019,N/A,Si,U,L04AB04,ADALIMUMAB,SUBCUTANEA,C,ADALIMUMAB,mg,100,CADA ML,SOLUCION INYECTABLE,LONZA BIOLOGICS TUAS PTE LTD (FABRICANTE DEL PRINCIPIO ACTIVO),FABRICANTE,IMPORTAR Y VENDER
281,PARABIL TABLETAS RECUBIERTAS.,JORGE FRANCISCO ARBOLEDA JARAMILLO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO DIVERSA REPRESENTACIONES,INVIMA 2015 M-14086-R2,01/04/2000,11/25/2020,Vigente,19904761,4,6,CAJA PLEGADIZA POR 6 TABLETAS RECUBIERTAS EN 1 BLÍSTER PVC/ ALUMINIO POR 6 TABLETAS RECUBIERTAS.,Activo,10/31/2015,N/A,No,U,A06AB57,CASCARA COMBINACIONES,ORAL,A,DANTRON 100% 1-8 DIHIDROXIANTRAQUINONA,mg,50,TABLETA RECUBIERTA,TABLETA RECUBIERTA,FABRIFARMA S.A.,FABRICANTE,FABRICAR Y VENDER
282,GESTAVIT DHA,PROCAPS S.A.,INVIMA 2015M-0010993-R1,06/21/2010,09/11/2020,Vigente,20015204,5,1,CAJA X 60 CAPSULAS BLANDAS CON CUBIERTA ENTERICA EN 6 BLISTER AL/PVDC X 10 CAPSULAS C/U,Activo,03/24/2010,N/A,No,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,OXIDO DE ZINC  (80.35% ZINC) EQUIVALENTE A 15 MG DE ZINC.,mg,18.671,N/A,CÁPSULA BLANDA DE GELATINA CON CUBIERTA ENTÉRICA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
283,NEBIVOLOL 5 MG,LABORATORIOS MK S.A.S. CARRERA 6 NO. 23 - 30 CALI - VALLE,INVIMA 2016M-0017055,05/12/2016,06/10/2021,Vigente,20096167,16,5,MUESTRA MÉDICA: CAJA POR 5 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO  X 5 TABLETAS,Activo,10/27/2015,N/A,Si,U,C07AB12,NEBIVOLOL,ORAL,A,NEBIVOLOL CLORHIDRATO EQUIVALENTE A NEBIVOLOL BASE,mg,5,TABLETA RANURADA,TABLETA,TECNOQUIMICAS S.A.,FABRICANTE,FABRICAR Y VENDER
284,TRIMEBUTINA 200 MG + SIMETICONA 120 MG,COLMED LTDA,INVIMA 2016M-0016780,02/02/2016,02/19/2021,Vigente,20098771,11,3,MUESTRA MEDICA: CAJA POR 3 TABLETAS RECUBIERTAS EN BLISTER PVC-PVDC/ALUMINIO,Activo,11/06/2015,N/A,Si,U,A03AA05,TRIMEBUTINA,ORAL,A,TRIMEBUTINA MALEATO,mg,200,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
285,GESTAVIT DHA,PROCAPS S.A.,INVIMA 2015M-0010993-R1,06/21/2010,09/11/2020,Vigente,20015204,12,1,M.MEDICA:CAJA X 5 CÁPSULAS BLANDAS CON CUBIERTA ENTERICA EN 5 BLISTER AL/PVDC X 10 CAPSULAS C/U.,Inactivo,08/29/2012,07/02/2015,Si,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,DL-ALFA TOCOFERIL ACETATO / VITAMINA E SINTETICA. EQUIVALENTE A 10 UI DE VITAMINA E,mg,10,N/A,CÁPSULA BLANDA DE GELATINA CON CUBIERTA ENTÉRICA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
286,BENVIDA® 200 MG TABLETA RECUBIERTA,LABORATORIOS BIOPAS S.A,INVIMA 2016M-0016885,02/29/2016,03/28/2021,Vigente,20091489,2,28,CAJA X 28 TABLETAS RECUBIERTAS EN BLISTER DE PVC/PVDC/ALUMINIO,Activo,07/23/2015,N/A,No,U,N03AX18,LACOSAMIDA,ORAL,A,LACOSAMIDA,mg,200,POR TABLETA,TABLETA RECUBIERTA,LABORATORIOS BIOPAS S.A,IMPORTADOR,IMPORTAR Y VENDER
287,ESCITAVITAE® 20MG TABLETAS RECUBIERTAS,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2019M-0018940,04/10/2019,05/03/2024,Vigente,20138566,8,56,MUESTRA MÉDICA: 1E1005031003107 ESCITALOPRAM 20.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ESCITAVITAE) TABLETA 1.0000U / CAJA X 56. CAJA POR 56 TABLETAS RECUBIERTAS COLOR BLANCO EN BLÍSTER DE PVC/PVDC/PVC TRANSPARENTE Y ALUMINIO.,Activo,10/23/2018,N/A,Si,U,N06AB10,ESCITALOPRAM,ORAL,A,ESCITALOPRAM OXALATO 25.55 MG EQUIVALENTE A ESCITALOPRAM,mg,20,TABLETA RECUBIERTA COLOR BLANCO,TABLETA RECUBIERTA,ATLANTIC PHARMA- PRODUÇ?ES FARMAC?UTICAS S.A,FABRICANTE,IMPORTAR Y VENDER
288,PROCAPS MUVETT,PROCAPS S.A.,INVIMA 2016M-0004780-R1,09/20/2005,04/12/2021,Vigente,19952266,5,1,CAJA POR UN FRASCO PET ÁMBAR X 74.1G DE POLVO PARA RECONSTITUIR A 120 ML CON TAPA BLANCA DE PP CON LINNER AZUL DE EVA Y COPA DOSIFICADORA DE POLIESTIRENO CRISTAL,Activo,08/17/2010,N/A,No,U,A03AA05,TRIMEBUTINA,ORAL,E,TRIMEBUTINA BASE (EQUIVALENTES A TRIMEBUTINA 200MG/15ML),g,1.333,61.76 GRAMOS DE POLVO PARA RECONSTITUIR A 100 ML,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,NOVOCAP S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
289,CREON® CAPSULAS DE LIBERACION RETARADADA 10.000,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2016M-13915-R2,11/22/1999,08/22/2021,Vigente,19905313,25,50,MUESTRA MEDICA: CAJA POR 50 CÁPSULAS DE LIBERACIÓN RETARDADA EN BLISTER DE ALUMINIO-OPA-PVC/ALUMINIO,Inactivo,09/16/2015,07/29/2016,Si,U,A09AA02,MULTIENZIMAS (LIPASA PROTEASA ETC.),ORAL,A,POLVO DE PANCREAS EQUIVALENTE A PANCREATINA LA CUAL CONTIENE: 8.000 U PH EUR Ó 45600 U USP DE AMILASA. 10.000 U PH EUR Ó 10.000 U USP DE LIPASA Y 600 U PH EUR Ó 38400 U USP DE PROTEASA,mg,150,CAPSULA DEL LIBERACION RETARDADA,CAPSULA DURA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
290,ACETILCISTEINA 200 MG,LABORATORIOS ECAR S.A,INVIMA 2018M-0018515,11/07/2018,12/07/2023,Vigente,20122097,4,100,CAJA X 100 SOBRES X 1.8 G EN LAMINADO PAPEL/ALUMINIO/POLIETILENO EN CAJA DE CARTON BLANCO ESMALTADO.,Activo,11/01/2018,N/A,No,U,R05CB01,ACETILCISTEINA,ORAL,D,ACETILCISTEINA,g,0.2,SOBRE X 1.8 G,GRANULOS,LABORATORIOS ECAR S.A,FABRICANTE,FABRICAR Y VENDER
291,KALLION® XR 150 MG,STENDHAL COLOMBIA S.A.S.,INVIMA 2020M-0019612,03/12/2020,03/30/2025,Vigente,20078774,4,14,IIUM: 1O1018241000104. CAJA PLEGADIZA CON UN FRASCO BLANCO DE POLIETILENO DE BAJA DENSIDAD (PEAD) CON TAPA BLANCA DE SEGURIDAD DE POLIPROPILENO (PP).CON LINNER R-38 Y CON DESECANTE SORB-IT(GEL SÍLICA ACTIVADA EN CANISTER DE PEAD) Y BOBINA DE RAYÓN DE COLOR BLANCO CONTENIENDO 14 TABLETAS DE LIBERACIÓN PROLONGADA.,Inactivo,07/06/2018,08/16/2019,Si,U,N03AF02,OXCARBAZEPINA,ORAL,A,OXCARBAZEPINA,mg,150,TABLETAS DE LIBERACION PROLONGADA.,TABLETA DE LIBERACION PROLONGADA,PANTHEON INC,FABRICANTE,IMPORTAR Y VENDER
292,CLORFENIRAMINA 4 MG TABLETAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2015M-0003976-R1,12/02/2004,06/03/2020,Vigente,19947546,2,60,CAJA POR 60 TABLETAS EN BLISTER PVC TRANSPARENTE/ ALUMINIO.,Activo,11/10/2006,N/A,No,U,R06AB04,CLORFENAMINA,ORAL,A,CLORFENIRAMINA MALEATO,mg,4,TABLETA,TABLETA,LABORATORIOS BUSSIÉ S.A.,FABRICANTE,FABRICAR Y VENDER
293,AIRE MEDICINAL COMPRIMIDO,OXIGENOS DE COLOMBIA LTDA. - OXICOL LTDA,INVIMA 2019M-0010069-R1,09/30/2009,02/07/2025,Vigente,20003855,2,3,GAS. (COLOR DEL CILINDRO BLANCO Y NEGRO) . CILINDRO DE ACERO AL CARBÓN. POR 3 METROS CÚBICOS.,Activo,04/16/2009,N/A,No,m3,V03AN01,OXIGENO,INHALACION,F,OXÍGENO (O2) 19.5-23.5%,% (V/V),100,CADA METRO CÚBICO CONTIENE: AIRE COMPRIMIDO (MEZCLA DE NITRÓGENO Y OXÍGENO) 19.5 - 23.5% EN VOLUMEN DE OXÍGENO.,GAS,PRAXAIR GASES INDUSTRIALES LTDA,FABRICANTE,FABRICAR Y VENDER
